gyrate (nm),Systems
2.30861,Wild
2.32543,Wild
2.31096,Wild
2.30139,Wild
2.30648,Wild
2.29406,Wild
2.30383,Wild
2.29983,Wild
2.30794,Wild
2.30485,Wild
2.30359,Wild
2.31428,Wild
2.30729,Wild
2.31636,Wild
2.31423,Wild
2.31916,Wild
2.31719,Wild
2.3081,Wild
2.29928,Wild
2.30394,Wild
2.29962,Wild
2.31487,Wild
2.31485,Wild
2.30491,Wild
2.31368,Wild
2.31809,Wild
2.3,Wild
2.3068,Wild
2.29776,Wild
2.29204,Wild
2.29818,Wild
2.29849,Wild
2.31595,Wild
2.32305,Wild
2.30443,Wild
2.30398,Wild
2.30158,Wild
2.30962,Wild
2.3213,Wild
2.31733,Wild
2.30184,Wild
2.30532,Wild
2.30979,Wild
2.31331,Wild
2.31269,Wild
2.30415,Wild
2.30595,Wild
2.29683,Wild
2.28946,Wild
2.30037,Wild
2.2985,Wild
2.30976,Wild
2.3107,Wild
2.32065,Wild
2.31687,Wild
2.32009,Wild
2.32153,Wild
2.30556,Wild
2.31371,Wild
2.33443,Wild
2.31597,Wild
2.31977,Wild
2.31967,Wild
2.32593,Wild
2.31953,Wild
2.32366,Wild
2.32431,Wild
2.3267,Wild
2.34068,Wild
2.33631,Wild
2.33798,Wild
2.33924,Wild
2.33347,Wild
2.33534,Wild
2.32348,Wild
2.33045,Wild
2.31083,Wild
2.33627,Wild
2.3348,Wild
2.34381,Wild
2.33542,Wild
2.33063,Wild
2.31756,Wild
2.32686,Wild
2.31559,Wild
2.3195,Wild
2.31197,Wild
2.31249,Wild
2.31577,Wild
2.31107,Wild
2.30469,Wild
2.31669,Wild
2.3116,Wild
2.30664,Wild
2.31544,Wild
2.30822,Wild
2.30826,Wild
2.31726,Wild
2.31222,Wild
2.32414,Wild
2.32323,Wild
2.32658,Wild
2.30301,Wild
2.30531,Wild
2.32218,Wild
2.32792,Wild
2.32087,Wild
2.32887,Wild
2.32811,Wild
2.3188,Wild
2.32537,Wild
2.33554,Wild
2.31923,Wild
2.32327,Wild
2.32094,Wild
2.32268,Wild
2.32521,Wild
2.32209,Wild
2.30526,Wild
2.30552,Wild
2.31404,Wild
2.32644,Wild
2.31326,Wild
2.31662,Wild
2.31475,Wild
2.3199,Wild
2.32356,Wild
2.31391,Wild
2.31444,Wild
2.34373,Wild
2.33999,Wild
2.32428,Wild
2.32492,Wild
2.31427,Wild
2.31457,Wild
2.324,Wild
2.30871,Wild
2.32287,Wild
2.31377,Wild
2.31721,Wild
2.31383,Wild
2.2963,Wild
2.30685,Wild
2.31595,Wild
2.3116,Wild
2.30598,Wild
2.29904,Wild
2.31328,Wild
2.30945,Wild
2.29964,Wild
2.31002,Wild
2.30366,Wild
2.30664,Wild
2.29322,Wild
2.30311,Wild
2.29518,Wild
2.31161,Wild
2.29337,Wild
2.30513,Wild
2.32535,Wild
2.32566,Wild
2.31393,Wild
2.30967,Wild
2.32177,Wild
2.31848,Wild
2.32856,Wild
2.31995,Wild
2.32036,Wild
2.32544,Wild
2.34015,Wild
2.31294,Wild
2.31132,Wild
2.32815,Wild
2.30782,Wild
2.29589,Wild
