rmsd (nm),Systems
0.1631765,Wild
0.1584095,Wild
0.1804971,Wild
0.1576759,Wild
0.1502214,Wild
0.1450689,Wild
0.1342236,Wild
0.1398107,Wild
0.1551753,Wild
0.1625921,Wild
0.1724217,Wild
0.1670492,Wild
0.1642131,Wild
0.1819615,Wild
0.1895408,Wild
0.184374,Wild
0.1845452,Wild
0.1628035,Wild
0.1754473,Wild
0.1693886,Wild
0.1605546,Wild
0.1613138,Wild
0.159906,Wild
0.1852322,Wild
0.1973256,Wild
0.201328,Wild
0.1844707,Wild
0.1587249,Wild
0.185634,Wild
0.1852534,Wild
0.1941465,Wild
0.1856103,Wild
0.2280743,Wild
0.2327918,Wild
0.2180369,Wild
0.2107217,Wild
0.1851878,Wild
0.1847175,Wild
0.1929667,Wild
0.2028589,Wild
0.2196177,Wild
0.2352807,Wild
0.2432331,Wild
0.2268412,Wild
0.2278131,Wild
0.2222187,Wild
0.2027664,Wild
0.1919658,Wild
0.1597405,Wild
0.165264,Wild
0.1530931,Wild
0.1592862,Wild
0.156045,Wild
0.1577683,Wild
0.1664688,Wild
0.1936732,Wild
0.1704616,Wild
0.1979296,Wild
0.2136751,Wild
0.208648,Wild
0.1739717,Wild
0.1903536,Wild
0.2224473,Wild
0.2060764,Wild
0.1598875,Wild
0.1559902,Wild
0.1616085,Wild
0.1731448,Wild
0.1440595,Wild
0.1565154,Wild
0.1623323,Wild
0.1402589,Wild
0.1360311,Wild
0.1356322,Wild
0.1419222,Wild
0.1429149,Wild
0.1496534,Wild
0.1503323,Wild
0.152951,Wild
0.1586977,Wild
0.1538437,Wild
0.1394537,Wild
0.1452221,Wild
0.1725255,Wild
0.1732817,Wild
0.1563615,Wild
0.1520331,Wild
0.1425107,Wild
0.149533,Wild
0.1653575,Wild
0.1629068,Wild
0.1705146,Wild
0.1709662,Wild
0.1825631,Wild
0.1570476,Wild
0.1424699,Wild
0.1569184,Wild
0.150733,Wild
0.1535339,Wild
0.146021,Wild
0.1290533,Wild
0.1419047,Wild
0.1447472,Wild
0.1346198,Wild
0.1283042,Wild
0.1535848,Wild
0.1433825,Wild
0.1417181,Wild
0.1376984,Wild
0.1236624,Wild
0.1372681,Wild
0.1316835,Wild
0.1303577,Wild
0.1391976,Wild
0.1463489,Wild
0.1542653,Wild
0.1526899,Wild
0.1413779,Wild
0.1622715,Wild
0.167507,Wild
0.1549043,Wild
0.1521667,Wild
0.1728724,Wild
0.1767818,Wild
0.1615749,Wild
0.1686383,Wild
0.1571446,Wild
0.1451979,Wild
0.1583441,Wild
0.1629704,Wild
0.1557863,Wild
0.1549628,Wild
0.1598763,Wild
0.1543103,Wild
0.1735688,Wild
0.1867386,Wild
0.1641479,Wild
0.1607917,Wild
0.1459167,Wild
0.1643442,Wild
0.1608836,Wild
0.1552992,Wild
0.1492581,Wild
0.163573,Wild
0.1440679,Wild
0.1381837,Wild
0.1497794,Wild
0.1438381,Wild
0.1438737,Wild
0.1438849,Wild
0.1612855,Wild
0.1467354,Wild
0.1387545,Wild
0.137716,Wild
0.1366342,Wild
0.1548045,Wild
0.1671656,Wild
0.173603,Wild
0.1597006,Wild
0.1936541,Wild
0.1975252,Wild
0.2319354,Wild
0.1838238,Wild
0.1993281,Wild
0.1909189,Wild
0.2077121,Wild
0.2064993,Wild
0.1870006,Wild
0.1774298,Wild
0.19958,Wild
0.1772384,Wild
0.1644044,Wild
0.1643255,Wild
0.1987948,Wild
0.2304106,Wild
0.2458576,Wild
0.2137873,Wild
0.1823258,Wild
0.1687255,Wild
0.1709153,Wild
0.1664304,Wild
0.1608014,Wild
0.159792,Wild
0.149352,Wild
0.1837005,Wild
0.2048814,Wild
0.1908349,Wild
0.1883481,Wild
0.1787253,Wild
0.2070455,Wild
0.2145031,Wild
0.2045767,Wild
0.1952042,Wild
0.1807056,Wild
0.1790737,Wild
0.1794194,Wild
0.1998389,Wild
0.1675872,Wild
0.1759946,Wild
0.1650271,Wild
0.1925505,Wild
0.2034651,Wild
0.1876302,Wild
0.1638183,Wild
0.1563439,Wild
0.1693301,Wild
0.163189,Wild
0.1441674,Wild
0.158723,Wild
0.1636951,Wild
0.1741553,Wild
0.1620726,Wild
0.1625763,Wild
0.1639947,Wild
0.145664,Wild
0.1412031,Wild
0.1391809,Wild
0.1449687,Wild
0.1406163,Wild
0.1450522,Wild
0.154414,Wild
0.1653603,Wild
0.1861187,Wild
0.1903778,Wild
0.1810323,Wild
0.1843682,Wild
0.1848992,Wild
0.1659179,Wild
0.1637212,Wild
0.1609861,Wild
0.1622157,Wild
0.1539901,Wild
0.1759713,Wild
0.1773081,Wild
0.155691,Wild
0.1748769,Wild
0.1771711,Wild
0.1750039,Wild
0.1508342,Wild
0.152896,Wild
0.1630938,Wild
0.1546846,Wild
0.1778554,Wild
0.1725278,Wild
0.1964489,Wild
0.1618999,Wild
0.2115291,Wild
0.2348868,Wild
0.224742,Wild
0.1914588,Wild
0.1830539,Wild
0.1943604,Wild
0.1995451,Wild
0.1796543,Wild
0.1638993,Wild
0.1829464,Wild
0.1857639,Wild
0.1812698,Wild
0.1752464,Wild
0.1586632,Wild
0.1522447,Wild
0.1301109,Wild
0.1264022,Wild
0.1304013,Wild
0.153557,Wild
0.1726335,Wild
0.1732059,Wild
0.1820439,Wild
0.1809218,Wild
0.1885071,Wild
0.1799573,Wild
0.1705098,Wild
0.1647192,Wild
0.16622,Wild
0.1803069,Wild
0.1681348,Wild
0.1525252,Wild
0.1381179,Wild
0.1588873,Wild
0.1505549,Wild
0.1530702,Wild
0.1749298,Wild
0.1649722,Wild
0.1782033,Wild
0.1918565,Wild
0.2013408,Wild
0.1833831,Wild
0.1822835,Wild
0.1764442,Wild
0.1710708,Wild
0.1742613,Wild
0.173186,Wild
0.1990699,Wild
0.1986178,Wild
0.1979605,Wild
0.1929502,Wild
0.1851243,Wild
0.1854044,Wild
0.1888591,Wild
0.1893978,Wild
0.2039863,Wild
0.183588,Wild
0.1710265,Wild
0.1706952,Wild
0.1758837,Wild
0.2110758,Wild
0.2008595,Wild
0.1968971,Wild
0.2029363,Wild
0.1568127,Wild
0.1683739,Wild
0.1937896,Wild
0.1808517,Wild
0.1933123,Wild
0.209424,Wild
0.1799494,Wild
0.2000621,Wild
0.1714258,Wild
0.2047403,Wild
0.2191925,Wild
0.2009394,Wild
0.2253038,Wild
0.1983003,Wild
0.1900438,Wild
0.1807353,Wild
0.1647098,Wild
0.1750662,Wild
0.1833969,Wild
0.2006357,Wild
0.197542,Wild
0.188095,Wild
0.2132946,Wild
0.1953033,Wild
0.1781323,Wild
0.195311,Wild
0.186029,Wild
0.2037605,Wild
0.1864991,Wild
0.1813214,Wild
0.1838923,Wild
0.1680573,Wild
0.1901406,Wild
0.1809369,Wild
0.1683126,Wild
0.1844913,Wild
0.185316,Wild
0.1849359,Wild
0.1634143,Wild
0.1691805,Wild
0.1700193,Wild
0.1719833,Wild
0.1867117,Wild
0.2125237,Wild
